name;address;postalcode;city;website;contact_person;contact_person_email;phone_number;description;looking_for
Dedecker consulting;Steenweg op Aalst 41;9620;Zottegem;www.dedeckerconsulting.be;Koen Dedecker;;485725370;Dedecker consulting voorziet zelfstandigen en KMO's van advies en oplossingen in hun zoektocht naar een digitale manier van werken. Door te vertrekken van een probleem zoeken we samen met de klant naar een effici‰nte oplossing om zijn probleem aan te pakken.;Wij zijn op zoek naar iemand die kan helpen met het uitbouwen van enkele integraties tussen bestaande applicaties, alsook het ontwikkelen van een volledig nieuwe webapp. De opdracht geeft veel ruimte voor eigen inbreng. We zoeken iemand die niet alleen het technische aspect op zich kan nemen, maar ook over de nodige assertiviteit beschikt om rechtstreeks contact met de klant op te nemen waar nodig.
Getflights | Groupflights;Gistelsesteenweg 676;8200;Brugge;groupflights.com;Pieterjan Carly;;487462902;"Wij zijn een 100% Belgische Vliegtuigticket Broker, waar wij voornamelijk aanbieder van vliegtuig tickets, charter vluchten en prive jets zijn voor zakenreis bureaus, tour operators, reisagentschappen, MICE kantoren, .... 
Van enkele reizigers tot grote groepen van duizenden reizigers.";"Front-end developers die ge‹nteresseerd zijn in moderne front-end frameworks, het werken met Typescript, Websockets, HTML5/CSS3, en moderne build tools.

Back-end developers die ge‹nteresseerd zijn in Reactive Programming en PHP op een moderne manier willen gebruiken (Symfony, ReactPHP, RatchetPHP, PHP8) in combinatie met MariaDB, SQLite en Redis.

Mensen met interesse in de luchtvaart en/of reizen zullen naast het developer werk ook zeker aan hun trekken komen."
Be-Mobile;Kardinaal Mercierlaan 1A;9090;Melle;https://www.be-mobile.com/;Delphine De Groote;;486206990;"While the need for mobility of people and goods keeps growing, the capacity is getting scarcer by the minute. Building new infrastructure is not a durable or cost-effective solution, but then what is? The solution is Total Traffic Management.


Be-Mobile, headquartered in Ghent, pioneers in Smart Mobility Solutions on an international level. We offer advanced solutions to measure and manage the traffic flows in order to put travelers, cities, road authorities, parking operators and logistics companies all around the world in control of their mobility processes.";"Knowledge is key at Be-Mobile. Sharing knowledge and continuous learning are two important values for us. Therefore, we always make our well-prepared internships very interesting and challenging, involving a two-way evaluation: not only do we assess how much you have learned from us, but also what we have learned from you. 

R&D Department (Frontend, Backend, DevOps, GIS)
Our R&D Department develops in cutting-edge technologies such as Docker, Golang, Vuejs, Kafka, Kubernetes. Big Data needs fancy databases: we use MongoDB and Elastic Search. Don?t let these technologies scare you off, there are about 40 tech experts who have your back!

Check more internship opportunities on https://careers.be-mobile.com/"
In The Pocket;Sassevaartstraat 46/401;9000;Gent;www.inthepocket.com;Laura Despiegelaere;;+32 9 234 34 25;"As Europe?s finest digital product studio, In The Pocket develops digital products that make people happy and businesses grow. From strategy to product launch and beyond, In The Pocket works in strategic partnerships with companies that take their digital future seriously.

With a talented in-house team of over 130 strategists, designers and engineers, it possesses every skill to turn your digital business strategy into an actual roadmap and product success. Since its founding, it has created over 500 digital products and services for brands like Payconiq by Bancontact, Barco, Colruyt, Groupe ADP, BNP Paribas, BMW & SD Worx. In doing so, the company has acquired an extensive amount of knowledge about mobile, web & cloud, AR & VR and machine learning. Every day millions of people use our products to pay, travel, work or read the news.

Launched in 2010 as a mobile agency, we quickly shifted to become Belgium?s finest Digital Product Studio. From strategy to product launch and beyond, we work in strategic partnerships with companies that take their digital future seriously.";"At In The Pocket, we like to operate  in the sweet spot between technology, design and business. We?re open-minded and like to learn something new every day. We're united by a passion to create best-in-class digital products. 

In The Pocket is organised in autonomous teams consisting of developers, designers and product managers. By being part of one and the same team, they can develop a product from start to finish. Because every team carries responsibility, working at In The Pocket means accepting a high level of autonomy. We rely on trust and openness, and sharing our learning curve. At In The Pocket there?s time to experiment and budget to develop yourself. 

- Mobile Developers (iOS, Flutter, Android en React Native)

- Web Developers

- Back-end Developers

- Front-end Developers

- Full Stack Developers

- AR Developers

- Machine Learning Engineers 

- Data Engineers

- Product Managers

- ...

Find out more about our job openings on our website: https://www.inthepocket.com/careers"
Dataline Holding;Autobaan 21;8210;Loppem;www.dataline.eu;Dirk Deroo;;50832000;"Welkom bij Dataline: werken bij een Europese marktleider in de printmedia industrie.
Ben je klaar voor een bedrijfscultuur waarin enthousiasme, plezier, betrokkenheid en ontwikkeling centraal staat? Volgens ons zijn dit de ingredi‰nten om naast fijn werken ook uitstekende resultaten neer te kunnen zetten. Zo ontstaat software waarmee we onze businesspartners ‚cht verder helpen. 

Met meer dan 1.000 klanten en 10.000 gebruikers in 23 landen is Dataline Solutions met MultiPress de onbetwiste europese marktleider in de automatiseringssoftware voor de printmedia industrie.  Onze medewerkers werken vanuit Brugge-Loppem (Belgi‰), Hasselt (Belgi‰), Limmen-Amsterdam (Nederland), Straatsburg, Parijs (Frankrijk) en Willingen (Duitsland).

Dataline is een sterke groeier. Wij hebben de uitgesproken ambitie om in heel Europa de MultiPress software tot d‚ referentie te maken. Stap voor stap lukt ons dat. Met jouw talent er bij lukt dat nog beter.
Dataline groeit, samen met jou.";"- PHP Developer
Ben jij de Superhero op het vlak van PHP? Dan is Dataline op zoek naar jou!
Als (Senior) PHP Developer maak je deel uit van een getalenteerd team dat het speerpunt vormt van onze internationale ambities. Je werkt samen met je collega?s aan innovatieve projecten voor ons pakket MultiPress vanuit het hoofdkantoor te Brugge. Van het meebouwen van een nieuwe applicatie tot het upgraden van een bestaand platform, bij Dataline krijg je een uitgebreid en gevarieerd takenpakket. In jouw gereedschapskist: PHP, SQL en PHP frameworks. Met deze kennis breng je al je projecten tot een goed einde. Je overlegt en werkt samen met je collega?s volgens de scrummethodologie.
- Digital Marketing Co”rdinator
Ben jij een digitale duizendpoot met technische en creatieve skills en gepassioneerd over alles wat gelinkt is met het online gebeuren? Als Digital Marketeer ben je verantwoordelijk voor de online communicatie en conversie optimalisatie van de Dataline website. Daarnaast streef je naar een optimale online bezoekerservaring en zorg je samen met het marketingteam voor de juiste inzet van de online marketing kanalen. Jouw focus ligt specifiek op volgende vakgebieden: database marketing, remarketing, marketing automation, Linkedin, e-mail campagnes, analyses & online reporting.
- Senior Frontend Developer
Ben jij de Superhero op het vlak van Javascript, CSS en HTML? Blaas jij gebruikers van de sokken met een Frontend die ‚cht tot leven komt? Ga je enkel voor de perfecte user experience? Is pixel-perfect jouw ?middle name?? Dan is Dataline op zoek naar jou!
Als Frontend Developer maak je deel uit van een getalenteerd team dat het speerpunt vormt van onze internationale ambities. Je staat mee aan de wieg van het cloud development project waarmee we met MultiPress, d‚ #1 business software voor de grafische industrie in de Benelux, Europa willen veroveren.
- Frontend Application Developer
Hou jij van nieuwe uitdagingen? Kennen HTML, CSS en Angular geen geheimen meer voor jou? Is pixel-perfect jouw ?middle name? Dan is Dataline op zoek naar jou!
Als Frontend Developer maak je deel uit van de afdeling Development. Je staat mee aan de wieg van een nieuwe cloudontwikkeling van ‚‚n van onze applicaties. De bedoeling is om een webclient te cre‰ren voor onze bestaande business-to-business omgeving.
- Stagairs
Ben jij de stagiair Informatica, Digital Marketing, Event Marketing of Grafimediabeleid die we zoeken? Solliciteer dan meteen en maak je klaar om enorm veel plezier te beleven!
- Meer openstaande vacatures te ontdekken via https://dataline.recruitee.com/"
Say Hey;Torhoutsesteenweg 149;8210;Zedelgem;https://www.sayhey.be/;Martijn Werbrouck;;050/352238;Hey! We zijn een full service communicatiebureau met meer dan 15 jaar ervaring in het cre‰ren van impactvolle merken. Dit doen we op basis van kick-ass naming, branding, grafisch ontwerp, fotografie, videografie, copywriting, webdesign, webapplicaties, digitale marketing, zoekmachineoptimalisatie (seo), e-commerce al dan niet gecombineerd met de opmaak van een strategisch communicatieplan. Als marketingbureau zetten we in op memorabele marketing.;Als deel van het ontwikkelteam ben je verantwoordelijk voor het bouwen van een innovatieve en reactive webapplicatie samen met ons team. Je maakt een gestructureerd project, vertrekkende van wireframes tot complete uitvoering. Er wordt gebruik gemaakt van de nieuwste trends zowel op vlak van design als programmatie.
Sweepatic;Kapeldreef 60;3001;Leuven;www.sweepatic.com;Stijn Vande Casteele;;499998519;"Sweepatic is a young innovative cybersecurity company operating on a global scale making our customers more cyber resilient. 

Our innovative cloud platform maps, monitors and manages attack surfaces across the world producing high impact insights and easy-to-remediate findings. 

To learn more about Sweepatic, visit https://www.sweepatic.com and follow Sweepatic on social media (LinkedIn, Facebook, Twitter and Insta)";"Jr. Security Analyst (""hunter"") internship:

Phase 1 of internship) Main focus is the monitoring of customer scopes on the Sweepatic attack surface management platform. This includes, but is not limited to the triage, assigning of tags and preparing of small tactical ""hunting"" activity, producing fact-based reports detailing the observations in a clear, professional way to customer users.

Release testing: hunt for application bugs or other problems with the product, prior to production release.

Perform an external security test (including vulnerability scan) covering the network, infrastructure, and application layer of the Sweepatic systems and applications related to the product. Presentation of the findings to the internal team.

Phase 2 of the internship) 

Support the Sweepatic product manager in conducting light research on current ongoing reconnaissance and/or OSINT trends, security testing standards as needed with a goal of reporting noticed threats applicable to our customers and developing feature requests (via small proof of concept) on how to address them (via technical specs) from a technical roadmap perspective (e.g. creation of new platform observations, dashboard information elements and/or report elements)

Write ""in-portal"" tactical documentations on existing features, to educate and increase the engagement of users within the Sweepatic platform.

Sweepatic day to day contacts:

Overall: CEO 
Phase 1) CTO
Phase 2) Product manager

Profile:

Experience in organizing, conducting and improving security analysis, threat hunting related work. 
Strong written and verbal communication skills (in Dutch and English), including the ability to convey highly technical information in an accessible manner. 
Familiarity/experience with Linux, Python, JavaScript.
Good understanding and a passion for both cybersecurity, analysis and security testing. 
Interest in Cybersecurity research, Open Source Intelligence gathering, reconnaissance techniques. 
Willingness to interact with people ie. team members and customer users. 
Ability to work independently and in team. Can-do attitude with a focus on problem-solving, quality, and a strong desire to focus and get the job done.

Depending on corona, HQ office is in Leuven, the alternative of remote work or a combination of both can be discussed."
Nowjobs NV;Kortrijksesteenweg 1144D;9051;Sint-Denijs-Westrem;https://nowjobs.be;Johan Coppieters;;32491071638;"Nowjobs is commercieel gelanceerd in april 2017 naar 1 jaar development. Met deze applicatie spelen we sterk in op de digitalisering van de rekruteringsmarkt, de noden van iedereen die snel een centje willen bijverdienen en de behoeften van de horeca-, event- en retailsector die vaak snel tijdelijke personeelstekorten moeten opvangen.

Na 4 jaar is de app een groot succes. Maar liefst 251.000 bijverdieners en 10.000 bedrijven vinden elkaar op deze manier.

Nowjobs levert medewerkers voor de lokale bakker, een cafe met een feetstje, tot de jaarlijkse kerstmarkten, McDonalds, maar ook events zoals TML, Werchter, e.d.

We zijn vorig jaar gestart met de rollout in Nederland en dit jaar Frankrijk, Duitseland komt er aan tegen begin 2022.
Onze development afdeling heeft eigen kantoren in Gent.";"Voor onze eindgebruikers maken we een iOS en Android app, maar ook een webversie met iets meer functionaliteit. We gebruiken hiervoor Ionic bovenop Angular in TypeScript met een aantal native plug-ins. 

Deze apps gebruiken de API van onze eigen server, ook volledig geschreven in TypeScript gebruikmakend van nodejs, mySQL en RabbitMQ. 

Er is een gescheiden research team dat zich ondermeer met machine learning bezig houdt om werkzoekers aan de juiste jobs te koppelen. 

Het QA team schrijft automated tests op deze omgeving. 

Afhankelijk van de interesse en kennis van de developers en stagairs kiezen zij een team, waar ze meedraaien in de sprints. Begeleiding wordt door de teamleads voorzien, maar ook door mezelf als ex docent VUB en Howest Brugge."
ORAC Holding NV;Biekorfstraat 32;8400;Oostende;www.oracdecor.com;Thomas Nuijttens;;474938279;"Orac Decor© is de internationale standaard voor 3D-ornamenten van hoge kwaliteit en innoveert voortdurend in technologie, materialen en design. Het resultaat is een uitgebreide en complete collectie van en voor gepassioneerde professionals. Creatieve professionals die innovatie waarderen en kwaliteitsproducten die eenvoudig te installeren zijn, waardoor ze inspirerende en unieke ruimtes kunnen cre‰ren. Van plinten en indirecte verlichtingsprofielen tot multifunctionele profielen en kroonlijsten met een echt karakter. Kortom eigentijdse kwaliteitsoplossingen die zowel functioneel als decoratief zijn.

Met Orac Decor© kunt u elke kamer uniek maken, geheel in lijn met uw stijl en persoonlijkheid, zonder creatieve beperkingen.";Momenteel zijn we op zoek naar een echte Smart Tech & AI Creator of IoT Infrastructure engineer die samen met ons nieuwe horizonten wil verkennen. Ben je ge‹nteresseerd in het maken van Bots om de klantenervaring naar een hoge niveau te tillen? Heb je kaas gegeten van de IoT oplossing om data van onze machines naar de Cloud te transformeren? Of ben jij de ontwikkelaar van onze eerste AR app? Dan ben je bij ons aan het goede adres! Toffe werkplaats en Friday after work drinks inbegrepen!
IF-IT4U;Blokkestraat 41A bus 1.3;8550;Zwevegem;https://www.if-it4u.com;Koen Verbeke;;32477420456;bvba is een dienstverlenend ICT bedrijf met meer dan 15 jaar ervaring in de KMO markt. Wij streven ernaar onze klanten een totaalpakket aan informatica diensten en bijhorende hardware/ infrastructuur aan te leveren. Op die manier zorgen we er voor dat onze klanten slechts ‚‚n aanspreekpunt hebben inzake hun ICT beleving.;"PowerBI
Azure & Cloud Infrastructure, Windows Virtual Desktop, VPN networking to Azure,..."
Keypoint;Kuipweg 13;8400;Zandvoorde;www.keypoint.be;Tijs Corneillie;;494074516;"Keypoint is de digitale assistent voor alle partijen die een beslissingsbevoegdheid hebben over herstellingen en onderhoud aan gebouwen, het beheer en de communicatie maar ook voor het verlenen van advies en ondersteuning.

Via ons digitaal samenwerkingsplatform worden alle betrokken partijen gekoppeld en wordt dossierbeheer sterk geautomatiseerd en effici‰nter. Een dossier wordt zo digitaal, transparant en relevant op het juiste moment ‚n dat voor iedereen. Hiervoor bouwen wij ook tal van koppelingen met beheersoftware uit onze respectievelijke doelmarkten.

Daarnaast beheren wij ook ons eigen herstelnetwerk over gans Belgi‰ die alle types van opdrachten kan herstellen, zowel binnen als buiten de verzekeringen. Via de Keypoint Community bieden wij ook gratis ondersteuning aan syndici via onze partners voor het bekomen van EPC attesten, technische audits enz.";"Keypoint is een startup met 11 medewerkers. Je komt als stagiair in een team terecht van 3 developers & 1 support medewerker. Ondanks dat we goed weten waar we hiermee naartoe willen verwachten we dat je actief mee nadenkt over de implementatie & verwachten we jou input. Echter moet je ook de input van het team kunnen accepteren en verwerken bij de implementatie.

Ons platform wordt gebruikt als SaaS oplossing door : 
- Gebouwbeheerders (bijvoorbeeld Syndici, Retailketens, ... )
- Verzekeraars & verzekeringsmakelaars
- Aannemers
- Ons eigen Customer Care team voor het beheer van onze dienst Keypoint Repair. 

In het development team richten we ons naar full stack profielen, dus mensen die zowel front-end als back-end kunnen meedraaien. Ons platform wordt volledig gehost in Azure, en bestaat uit : 
- asp.net WebAPI
- een eigen IDP (Identity provider)
- Azure functions
- SQL DB
- Asp.net MVC app
- React front end applicatie
- Xamarin app

In 2021 focussen we onszelf te migreren naar .NET 5, je zal dus met de nieuwste technologie‰n aan de slag kunnen.

Keypoint is een sterk groeiende organisatie, indien er een match is kunnen we misschien wel blijven samenwerken na je opleiding!"
Howest Internationale stage MCT;Sint-Martens-Latemlaan 2B;8500;Kortrijk;www.howest.be;Claudia Eeckhout;;056 24 12 47;MCT internationaal;ge‹nteresseerde MCT studenten die internationale stage wensen te doen.
Howest Internationale stage TI;Howest Brugge;8000;Brugge;www.howest.be;Jill Vandendriessche;;niet gekend;"Internationale stage TI
";"ge‹nteresseerde studenten voor internationale stage TI
"
Aaltra;Brusselsesteenweg 202;9090;Melle;www.aaltra.eu;Pieter-Paulus Vertongen;;479516653;Aaltra is een ?Digital Innovation Studio? in Melle (bij Gent). Vanuit onze studio werken we met een team van getalenteerde designers en ontwikkelaars aan de digitale producten en diensten van de toekomst. Voor klanten zoals Daikin, Novy, Qguard maken we innovatieve apps en IoT-oplossingen die een echt verschil maken in het dagelijkse leven van duizenden gebruikers.;"Je staat op het punt om af te studeren en je kan niet wachten om je kennis, goesting en inspiratie in te zetten voor echte klanten en echte gebruikers? 
Dan beland je liever niet in een bedrijf waar je elke dag andere klusjes gaat opknappen.
Bij Aaltra bieden we elk jaar een duo van 2 stagiairs de kans om deel uit te maken van ons team. Naast een fantastische eerste werkervaring bieden we je ook de kans om te werken aan een duidelijk uitgetekend project. Onder onze begeleiding leer je je eigen beslissingen te nemen, je leert omgaan met werkplanning en je komt in contact met de klant. 
Na je stage bij Aaltra heb je dus niet alleen ontzettend veel bijgeleerd. Je kan ook apetrots zijn op het project dat je opleverde.
Jouw profiel:
?	Je bent enthousiast en leergierig.
?	Je kan goed overweg met minsten ‚‚n van de volgende zaken:
o	HTML, Javascript & Css
o	iOS development (Swift)
o	Android development (Java)
o	Vue js
o	Backend development (C# .Net, SQL)
"
Duo nv;Bargeweg 2;8000;Brugge;https://www.duo.be;Rien Kerckhof;;+50 96 10 00;"Duo, een digital agency?

Ja en neen. Duo bouwt oplossingen op maat. Met ons gedreven team te Brugge kiezen we steeds de juiste technologie voor onze klanten. Of dit nu gaat over automatisering, complexe websites, webshops in Drupal of Magento, enterprise applications, digitale strategie‰n of mobile- & webapplicaties. Voor ons draait het om klantgericht innoveren. We houden ervan uitdagende maatwerkprojecten aan te nemen voor interessante klanten zoals de Abdij Van West-Vleteren, Plopsa, McDonald's en ga zo maar door. 
";We zijn op zoek naar Professionele Bachelorstudenten (TI/NMCT) die graag willen meedraaien in een digital agency. Bij ons wordt je niet gewoon in een vergeethoekje gestopt, maar werk je samen met ervaren collega's mee aan diverse projecten. Die projecten stemmen we af op jouw skillset/interesses, zodat je tijdens je stage al voeling kan krijgen met wat je na je studies wil doen! Of je nu liever front- of backend development doet, of eerder ambities hebt in UX/UI design - kom eens praten - is het een match, dan hebben we een leuke stage voor jou in petto!
Givt B.V.;Stijn Streuvelslaan 45;8501;Heule;www.givtapp.net;Maarten Vergouwe;;32497809851;Givt is een jong en dynamisch bedrijf dat oplossingen voorziet voor mensen die graag hun steentje willen bijdragen aan een betere wereld door een financi‰le donatie te doen aan een goed doel of andere non-profit-organisaties. Want: geven is anders dan betalen.;We werken aan de ontwikkeling van een persoonlijke geefassistent waarin je op een slimme manier de goede doelen kunt leren kennen die bij jou passen. Hiervoor zijn we op zoek naar profielen die willen meehelpen aan de software-ontwikkeling, de ontwikkeling van algoritmes voor matching en de analyse van data.
